id,code,label
C21098048,C10055,Litigation
C21098048,C10116,Wills and probate
C21098049,C10055,Litigation
C21098049,C10056,Manors
C21098050,C10055,Litigation
C21098051,C10055,Litigation
C21098052,C10055,Litigation
C21098052,C10132,Ireland
C21098052,C10083,Population
C21098053,C10055,Litigation
C21098053,C10025,Debt
C21098054,C10055,Litigation
C21098055,C10055,Litigation
C21098056,C10055,Litigation
C21098057,C10055,Litigation
C21098058,C10055,Litigation
C21098059,C10055,Litigation
C21098060,C10055,Litigation
C21098060,C10025,Debt
C21098061,C10055,Litigation
C21098062,C10055,Litigation
C21098062,C10056,Manors
C21098063,C10055,Litigation
C21098064,C10055,Litigation
C21098065,C10055,Litigation
C21098066,C10055,Litigation
C21098067,C10055,Litigation
C21098068,C10055,Litigation
C21098069,C10055,Litigation
C21098069,C10056,Manors
C21098070,C10055,Litigation
C21098071,C10055,Litigation
C21098072,C10055,Litigation
C21098072,C10056,Manors
C21098073,C10055,Litigation
C21098073,C10056,Manors
C21098074,C10055,Litigation
C21098074,C10056,Manors
C21098075,C10055,Litigation
C21098075,C10056,Manors
C21098076,C10055,Litigation
C21098077,C10055,Litigation
C21098077,C10056,Manors
C21098078,C10055,Litigation
C21098078,C10025,Debt
C21098078,C10013,Clothing
C21098079,C10059,Marriage and divorce
C21098079,C10055,Litigation
C21098080,C10055,Litigation
C21098081,C10055,Litigation
C21098081,C10012,Children
C21098082,C10055,Litigation
C21098083,C10055,Litigation
C21098083,C10056,Manors
C21098083,C10012,Children
C21098084,C10055,Litigation
C21098085,C10055,Litigation
C21098086,C10055,Litigation
C21098087,C10055,Litigation
C21098088,C10055,Litigation
C21098088,C10056,Manors
C21098089,C10055,Litigation
C21098090,C10055,Litigation
C21098091,C10055,Litigation
C21098092,C10055,Litigation
C21098093,C10059,Marriage and divorce
C21098093,C10055,Litigation
C21098094,C10055,Litigation
