id,code,label
C21097603,C10025,Debt
C21097604,C10131,Europe and Russia
C21097604,C10055,Litigation
C21097604,C10108,Trade and commerce
C21097605,C10055,Litigation
C21097605,C10056,Manors
C21097606,C10055,Litigation
C21097606,C10108,Trade and commerce
C21097606,C10052,Labour
C21097607,C10055,Litigation
C21097608,C10055,Litigation
C21097608,C10116,Wills and probate
C21097609,C10055,Litigation
C21097609,C10116,Wills and probate
C21097610,C10055,Litigation
C21097610,C10056,Manors
C21097611,C10055,Litigation
C21097612,C10055,Litigation
C21097613,C10055,Litigation
C21097613,C10056,Manors
C21097614,C10055,Litigation
C21097614,C10025,Debt
C21097615,C10031,Disasters and emergencies
C21097615,C10055,Litigation
C21097615,C10108,Trade and commerce
C21097615,C10025,Debt
C21097615,C10080,Piracy and privateering
C21097616,C10055,Litigation
C21097617,C10055,Litigation
C21097617,C10007,Banking
C21097617,C10022,Conveyancing
C21097617,C10036,Farming
C21097618,C10055,Litigation
C21097619,C10055,Litigation
C21097619,C10116,Wills and probate
C21097620,C10055,Litigation
C21097621,C10055,Litigation
C21097621,C10007,Banking
C21097621,C10022,Conveyancing
C21097622,C10055,Litigation
C21097623,C10055,Litigation
C21097624,C10055,Litigation
C21097625,C10055,Litigation
C21097626,C10055,Litigation
C21097627,C10055,Litigation
C21097627,C10025,Debt
C21097628,C10055,Litigation
C21097629,C10055,Litigation
C21097630,C10055,Litigation
C21097630,C10056,Manors
C21097631,C10055,Litigation
C21097632,C10055,Litigation
C21097633,C10055,Litigation
C21097633,C10025,Debt
C21097634,C10055,Litigation
C21097634,C10056,Manors
C21097635,C10055,Litigation
C21097636,C10055,Litigation
C21097636,C10025,Debt
C21097636,C10007,Banking
C21097636,C10022,Conveyancing
C21097637,C10055,Litigation
C21097637,C10056,Manors
C21097638,C10055,Litigation
C21097639,C10055,Litigation
C21097639,C10056,Manors
C21097640,C10055,Litigation
C21097640,C10025,Debt
C21097641,C10055,Litigation
C21097641,C10056,Manors
C21097642,C10055,Litigation
C21097643,C10055,Litigation
C21097643,C10056,Manors
C21097644,C10055,Litigation
C21097645,C10055,Litigation
C21097646,C10055,Litigation
C21097647,C10055,Litigation
C21097648,C10055,Litigation
C21097648,C10056,Manors
C21097649,C10055,Litigation
C21097650,C10055,Litigation
C21097650,C10056,Manors
C21097651,C10055,Litigation
C21097651,C10108,Trade and commerce
C21097651,C10025,Debt
C21097651,C10116,Wills and probate
C21097652,C10055,Litigation
C21097653,C10055,Litigation
C21097653,C10056,Manors
C21097654,C10055,Litigation
C21097654,C10025,Debt
C21097654,C10036,Farming
C21097655,C10055,Litigation
C21097656,C10055,Litigation
C21097657,C10055,Litigation
C21097658,C10055,Litigation
C21097659,C10055,Litigation
C21097660,C10055,Litigation
C21097661,C10055,Litigation
C21097662,C10059,Marriage and divorce
C21097662,C10055,Litigation
C21097663,C10059,Marriage and divorce
C21097663,C10055,Litigation
C21097664,C10055,Litigation
C21097665,C10055,Litigation
C21097665,C10056,Manors
C21097666,C10055,Litigation
C21097667,C10055,Litigation
C21097667,C10116,Wills and probate
C21097668,C10055,Litigation
C21097668,C10025,Debt
C21097669,C10055,Litigation
C21097670,C10055,Litigation
C21097670,C10056,Manors
C21097671,C10055,Litigation
C21097672,C10055,Litigation
C21097673,C10055,Litigation
C21097674,C10055,Litigation
C21097674,C10108,Trade and commerce
C21097674,C10052,Labour
C21097675,C10055,Litigation
C21097675,C10025,Debt
C21097676,C10055,Litigation
C21097677,C10055,Litigation
C21097678,C10055,Litigation
C21097679,C10055,Litigation
C21097680,C10055,Litigation
C21097681,C10055,Litigation
C21097682,C10055,Litigation
C21097683,C10055,Litigation
C21097684,C10055,Litigation
C21097685,C10055,Litigation
C21097686,C10055,Litigation
C21097686,C10108,Trade and commerce
C21097687,C10055,Litigation
C21097687,C10056,Manors
C21097688,C10055,Litigation
C21097689,C10055,Litigation
C21097689,C10040,Forestry
C21097690,C10055,Litigation
C21097690,C10022,Conveyancing
C21097691,C10055,Litigation
C21097692,C10055,Litigation
C21097692,C10056,Manors
C21097693,C10055,Litigation
C21097693,C10022,Conveyancing
C21097694,C10055,Litigation
C21097694,C10056,Manors
C21097695,C10055,Litigation
C21097695,C10025,Debt
C21097696,C10055,Litigation
C21097697,C10055,Litigation
C21097697,C10056,Manors
C21097698,C10055,Litigation
C21097699,C10055,Litigation
C21097699,C10056,Manors
C21097700,C10059,Marriage and divorce
C21097700,C10055,Litigation
C21097701,C10055,Litigation
C21097701,C10007,Banking
C21097701,C10022,Conveyancing
C21097702,C10055,Litigation
C21097702,C10056,Manors
C21097703,C10055,Litigation
C21097704,C10055,Litigation
C21097705,C10059,Marriage and divorce
C21097705,C10055,Litigation
C21097706,C10055,Litigation
C21097707,C10055,Litigation
C21097707,C10025,Debt
C21097708,C10055,Litigation
C21097709,C10055,Litigation
C21097709,C10056,Manors
C21097710,C10055,Litigation
C21097710,C10056,Manors
