age,gender,year,deaths
43,female,1964,890
43,male,1964,1174
44,female,1964,994
44,male,1964,1306
45,female,1964,719
45,male,1964,1100
46,female,1964,844
46,male,1964,1198
47,female,1964,996
47,male,1964,1490
48,female,1964,1083
48,male,1964,1604
49,female,1964,1390
49,male,1964,2060
50,female,1964,1482
50,male,1964,2293
51,female,1964,1484
51,male,1964,2439
52,female,1964,1657
52,male,1964,2891
53,female,1964,1869
53,male,1964,3134
54,female,1964,2065
54,male,1964,3554
55,female,1964,2040
55,male,1964,3859
56,female,1964,2355
56,male,1964,4312
57,female,1964,2408
57,male,1964,4724
58,female,1964,2702
58,male,1964,5187
59,female,1964,2903
59,male,1964,5574
60,female,1964,3182
60,male,1964,5868
61,female,1964,3230
61,male,1964,6146
62,female,1964,3604
62,male,1964,6804
63,female,1964,4052
63,male,1964,7333
64,female,1964,4310
64,male,1964,7526
65,female,1964,4497
65,male,1964,7147
66,female,1964,4667
66,male,1964,6853
67,female,1964,5224
67,male,1964,7361
68,female,1964,5461
68,male,1964,7393
69,female,1964,5886
69,male,1964,7694
70,female,1964,6336
70,male,1964,7665
71,female,1964,6411
71,male,1964,7766
72,female,1964,6994
72,male,1964,8055
73,female,1964,7758
73,male,1964,8097
74,female,1964,8283
74,male,1964,8225
75,female,1964,8387
75,male,1964,7996
76,female,1964,8624
76,male,1964,8028
77,female,1964,8707
77,male,1964,7623
78,female,1964,9067
78,male,1964,7626
79,female,1964,9254
79,male,1964,7324
80,female,1964,9382
80,male,1964,6811
81,female,1964,9166
81,male,1964,6255
82,female,1964,9075
82,male,1964,6174
83,female,1964,9176
83,male,1964,5661
84,female,1964,8634
84,male,1964,5302
85,female,1964,7700
85,male,1964,4536
86,female,1964,7027
86,male,1964,4047
87,female,1964,6218
87,male,1964,3327
88,female,1964,5306
88,male,1964,2812
89,female,1964,4696
89,male,1964,2304
90,female,1964,3631
90,male,1964,1682
91,female,1964,2940
91,male,1964,1204
92,female,1964,2358
92,male,1964,968
93,female,1964,1802
93,male,1964,689
94,female,1964,1341
94,male,1964,443
95,female,1964,909
95,male,1964,298
96,female,1964,719
96,male,1964,205
97,female,1964,464
97,male,1964,124
98,female,1964,306
98,male,1964,82
99,female,1964,188
99,male,1964,52
100,female,1964,135
100,male,1964,20
101,female,1964,81
101,male,1964,10
102,female,1964,41
102,male,1964,7
103,female,1964,32
103,male,1964,2
104,female,1964,8
104,male,1964,2
105,female,1964,6
105,male,1964,1
0,female,1965,6877
0,male,1965,9518
1,female,1965,489
1,male,1965,571
2,female,1965,310
2,male,1965,354
3,female,1965,215
3,male,1965,292
4,female,1965,199
4,male,1965,235
5,female,1965,154
5,male,1965,215
6,female,1965,116
6,male,1965,187
7,female,1965,105
7,male,1965,166
8,female,1965,76
8,male,1965,158
9,female,1965,73
9,male,1965,146
10,female,1965,77
10,male,1965,129
11,female,1965,103
11,male,1965,122
12,female,1965,82
12,male,1965,140
13,female,1965,90
13,male,1965,153
14,female,1965,105
14,male,1965,159
15,female,1965,96
15,male,1965,204
16,female,1965,144
16,male,1965,337
17,female,1965,150
17,male,1965,464
18,female,1965,160
18,male,1965,511
19,female,1965,172
19,male,1965,387
20,female,1965,137
20,male,1965,373
21,female,1965,149
21,male,1965,348
22,female,1965,144
22,male,1965,326
23,female,1965,144
23,male,1965,303
24,female,1965,142
24,male,1965,316
25,female,1965,162
25,male,1965,306
26,female,1965,156
26,male,1965,293
27,female,1965,164
27,male,1965,302
28,female,1965,187
28,male,1965,292
29,female,1965,182
29,male,1965,316
30,female,1965,206
30,male,1965,332
31,female,1965,189
31,male,1965,295
32,female,1965,205
32,male,1965,345
33,female,1965,243
33,male,1965,355
34,female,1965,273
34,male,1965,413
35,female,1965,312
35,male,1965,465
36,female,1965,325
36,male,1965,516
37,female,1965,385
37,male,1965,545
38,female,1965,448
38,male,1965,627
39,female,1965,509
39,male,1965,654
40,female,1965,568
40,male,1965,755
41,female,1965,637
41,male,1965,911
42,female,1965,742
42,male,1965,994
43,female,1965,783
43,male,1965,1159
44,female,1965,930
44,male,1965,1310
45,female,1965,1030
45,male,1965,1491
46,female,1965,881
46,male,1965,1238
47,female,1965,887
47,male,1965,1298
48,female,1965,1017
48,male,1965,1594
49,female,1965,1249
49,male,1965,1896
50,female,1965,1457
50,male,1965,2250
51,female,1965,1504
51,male,1965,2582
52,female,1965,1735
52,male,1965,2842
53,female,1965,1838
53,male,1965,3162
54,female,1965,1979
54,male,1965,3697
55,female,1965,2135
55,male,1965,3776
56,female,1965,2200
56,male,1965,4274
57,female,1965,2587
57,male,1965,4704
58,female,1965,2794
58,male,1965,5140
59,female,1965,2969
59,male,1965,5578
60,female,1965,3109
60,male,1965,6063
61,female,1965,3345
61,male,1965,6346
62,female,1965,3710
62,male,1965,7208
63,female,1965,3951
63,male,1965,7234
64,female,1965,4402
64,male,1965,7954
65,female,1965,4752
65,male,1965,7981
66,female,1965,4669
66,male,1965,7300
67,female,1965,5220
67,male,1965,7719
68,female,1965,5698
68,male,1965,7783
69,female,1965,6030
69,male,1965,7939
70,female,1965,6438
70,male,1965,7887
71,female,1965,6471
71,male,1965,7865
72,female,1965,7685
72,male,1965,8472
73,female,1965,7680
73,male,1965,8365
74,female,1965,8214
74,male,1965,8436
75,female,1965,8487
75,male,1965,8150
76,female,1965,8937
76,male,1965,8139
77,female,1965,9113
77,male,1965,7873
78,female,1965,9356
78,male,1965,7859
79,female,1965,9413
79,male,1965,7497
80,female,1965,9737
80,male,1965,7182
81,female,1965,9172
81,male,1965,6517
82,female,1965,9253
82,male,1965,6357
83,female,1965,9123
83,male,1965,5786
84,female,1965,8966
84,male,1965,5451
85,female,1965,8202
85,male,1965,4642
86,female,1965,7420
86,male,1965,4111
87,female,1965,6745
87,male,1965,3514
88,female,1965,5742
88,male,1965,2934
89,female,1965,4913
89,male,1965,2457
90,female,1965,4060
90,male,1965,1858
91,female,1965,3315
91,male,1965,1377
92,female,1965,2614
92,male,1965,1116
93,female,1965,2051
93,male,1965,739
94,female,1965,1500
94,male,1965,496
95,female,1965,1086
95,male,1965,340
96,female,1965,732
96,male,1965,234
97,female,1965,501
97,male,1965,150
98,female,1965,339
98,male,1965,74
99,female,1965,211
99,male,1965,42
100,female,1965,130
100,male,1965,32
101,female,1965,95
101,male,1965,17
102,female,1965,36
102,male,1965,6
103,female,1965,24
103,male,1965,4
104,female,1965,11
104,male,1965,1
105,female,1965,16
105,male,1965,0
0,female,1966,6790
0,male,1966,9357
1,female,1966,508
1,male,1966,616
2,female,1966,293
2,male,1966,389
3,female,1966,214
3,male,1966,301
4,female,1966,205
4,male,1966,257
5,female,1966,135
5,male,1966,208
6,female,1966,115
6,male,1966,166
7,female,1966,101
7,male,1966,144
8,female,1966,88
8,male,1966,162
9,female,1966,79
9,male,1966,143
10,female,1966,75
10,male,1966,117
11,female,1966,90
11,male,1966,131
12,female,1966,79
12,male,1966,138
13,female,1966,71
13,male,1966,153
14,female,1966,83
14,male,1966,167
15,female,1966,127
15,male,1966,186
16,female,1966,111
16,male,1966,381
17,female,1966,149
17,male,1966,428
18,female,1966,143
18,male,1966,480
19,female,1966,207
19,male,1966,526
20,female,1966,159
20,male,1966,383
21,female,1966,125
21,male,1966,345
22,female,1966,152
22,male,1966,374
23,female,1966,153
23,male,1966,329
24,female,1966,153
24,male,1966,294
25,female,1966,147
25,male,1966,252
26,female,1966,167
26,male,1966,288
27,female,1966,167
27,male,1966,287
28,female,1966,200
28,male,1966,284
29,female,1966,172
29,male,1966,334
30,female,1966,182
30,male,1966,316
31,female,1966,202
31,male,1966,336
32,female,1966,202
32,male,1966,322
33,female,1966,242
33,male,1966,363
34,female,1966,300
34,male,1966,411
35,female,1966,312
35,male,1966,471
36,female,1966,314
36,male,1966,495
37,female,1966,374
37,male,1966,490
38,female,1966,405
38,male,1966,592
39,female,1966,451
39,male,1966,675
40,female,1966,540
40,male,1966,762
41,female,1966,542
41,male,1966,823
42,female,1966,686
42,male,1966,1002
43,female,1966,792
43,male,1966,1082
44,female,1966,819
44,male,1966,1228
45,female,1966,1037
45,male,1966,1507
46,female,1966,1133
46,male,1966,1679
47,female,1966,922
47,male,1966,1422
48,female,1966,975
48,male,1966,1432
49,female,1966,1179
49,male,1966,1760
50,female,1966,1431
50,male,1966,2150
51,female,1966,1565
51,male,1966,2444
52,female,1966,1721
52,male,1966,2929
53,female,1966,1857
53,male,1966,3264
54,female,1966,2069
54,male,1966,3450
55,female,1966,2117
55,male,1966,3737
56,female,1966,2326
56,male,1966,4220
57,female,1966,2526
57,male,1966,4743
58,female,1966,2772
58,male,1966,5450
59,female,1966,2964
59,male,1966,5612
60,female,1966,3100
60,male,1966,5994
61,female,1966,3372
61,male,1966,6418
62,female,1966,3798
62,male,1966,7043
63,female,1966,4064
63,male,1966,7469
64,female,1966,4311
64,male,1966,7987
65,female,1966,4869
65,male,1966,8193
66,female,1966,5024
66,male,1966,8363
67,female,1966,5159
67,male,1966,8022
68,female,1966,5687
68,male,1966,8013
69,female,1966,6233
69,male,1966,8139
70,female,1966,6579
70,male,1966,8073
71,female,1966,6763
71,male,1966,8155
72,female,1966,7460
72,male,1966,8547
73,female,1966,7956
73,male,1966,8677
74,female,1966,8392
74,male,1966,8600
75,female,1966,8619
75,male,1966,8491
76,female,1966,9315
76,male,1966,8328
77,female,1966,9228
77,male,1966,8114
78,female,1966,9888
78,male,1966,7818
79,female,1966,9738
79,male,1966,7659
80,female,1966,9999
80,male,1966,7113
81,female,1966,9818
81,male,1966,6840
82,female,1966,9631
82,male,1966,6573
83,female,1966,9637
83,male,1966,5937
84,female,1966,9140
84,male,1966,5505
85,female,1966,8626
85,male,1966,4798
86,female,1966,7861
86,male,1966,4357
87,female,1966,6916
87,male,1966,3775
88,female,1966,6060
88,male,1966,2961
89,female,1966,5347
89,male,1966,2630
90,female,1966,4468
90,male,1966,2042
91,female,1966,3480
91,male,1966,1564
92,female,1966,2861
92,male,1966,1195
93,female,1966,2201
93,male,1966,885
94,female,1966,1601
94,male,1966,542
95,female,1966,1193
95,male,1966,390
96,female,1966,855
96,male,1966,259
97,female,1966,528
97,male,1966,143
98,female,1966,395
98,male,1966,113
99,female,1966,223
99,male,1966,50
100,female,1966,172
100,male,1966,23
101,female,1966,92
101,male,1966,17
102,female,1966,60
102,male,1966,12
103,female,1966,31
103,male,1966,1
104,female,1966,18
104,male,1966,2
105,female,1966,19
105,male,1966,5
0,female,1967,6593
0,male,1967,8673
1,female,1967,490
1,male,1967,549
2,female,1967,295
2,male,1967,374
3,female,1967,194
3,male,1967,281
4,female,1967,168
4,male,1967,223
5,female,1967,124
