burial_id,feetotal,fee_l,fee_s,fee_d,fee_as_d
12828,2.3.0,2,3,0,516
12829,1.4.0,1,4,0,288
12830,0.3.0,0,3,0,36
12831,0.9.0,0,9,0,108
12832,0.1.6,0,1,6,18
12833,2.12.6,2,12,6,630
12834,0.1.6,0,1,6,18
12835,0.3.0,0,3,0,36
12836,0.3.0,0,3,0,36
12837,0.9.0,0,9,0,108
12838,0.9.0,0,9,0,108
12839,0.3.0,0,3,0,36
12840,0.1.6,0,1,6,18
12841,1.1.0,1,1,0,252
12842,0.1.6,0,1,6,18
12843,2.3.0,2,3,0,516
12844,0.3.0,0,3,0,36
12845,0.5.0,0,5,0,60
12846,0.9.0,0,9,0,108
12847,0.1.6,0,1,6,18
12848,0.1.6,0,1,6,18
12849,0.5.0,0,5,0,60
12850,0.9.0,0,9,0,108
12851,0.9.0,0,9,0,108
12852,2.12.6,2,12,6,630
12853,0.1.6,0,1,6,18
12854,0.5.0,0,5,0,60
12855,0.1.6,0,1,6,18
12856,0.3.0,0,3,0,36
12857,0.1.6,0,1,6,18
12858,2.3.0,2,3,0,516
12859,0.1.6,0,1,6,18
12860,0.9.0,0,9,0,108
12861,2.12.6,2,12,6,630
12862,4.0.0,4,0,0,960
12863,0.7.6,0,7,6,90
12864,0.5.0,0,5,0,60
12865,1.1.0,1,1,0,252
12866,0.1.6,0,1,6,18
12867,0.9.0,0,9,0,108
12868,0.9.0,0,9,0,108
12869,0.5.0,0,5,0,60
12870,4.0.0,4,0,0,960
12871,0.5.0,0,5,0,60
12872,0.1.6,0,1,6,18
12873,0.5.0,0,5,0,60
12874,0.5.0,0,5,0,60
12875,4.0.0,4,0,0,960
12878,0.1.6,0,1,6,18
12879,0.1.6,0,1,6,18
12880,11.5.0,11,5,0,2700
12881,0.5.0,0,5,0,60
12882,0.9.0,0,9,0,108
12883,0.5.0,0,5,0,60
12884,0.3.0,0,3,0,36
12885,1.6.0,1,6,0,312
12886,1.16.0,1,16,0,432
12887,0.5.0,0,5,0,60
12888,0.1.6,0,1,6,18
12889,0.5.0,0,5,0,60
12890,0.3.0,0,3,0,36
12891,0.1.6,0,1,6,18
12892,0.1.6,0,1,6,18
12893,1.1.6,1,1,6,258
12894,0.5.0,0,5,0,60
12895,0.5.0,0,5,0,60
12896,0.5.0,0,5,0,60
12897,0.1.6,0,1,6,18
12898,0.5.0,0,5,0,60
12899,0.9.0,0,9,0,108
12900,0.1.6,0,1,6,18
12901,0.5.0,0,5,0,60
12902,0.3.0,0,3,0,36
12903,0.5.0,0,5,0,60
12904,0.5.0,0,5,0,60
12905,0.14.0,0,14,0,168
12906,0.1.6,0,1,6,18
12907,1.11.0,1,11,0,372
12908,0.5.0,0,5,0,60
12909,2.12.6,2,12,6,630
12910,0.9.0,0,9,0,108
