burial_id,feetotal,fee_l,fee_s,fee_d,fee_as_d
11370,0.5.0,0,5,0,60
11371,1.1.0,1,1,0,252
11372,0.9.0,0,9,0,108
11373,0.9.0,0,9,0,108
11374,0.1.6,0,1,6,18
11375,1.4.0,1,4,0,288
11376,2.13.0,2,13,0,636
11377,0.9.0,0,9,0,108
11379,1.3.6,1,3,6,282
11380,0.5.0,0,5,0,60
11381,0.5.0,0,5,0,60
11382,0.1.6,0,1,6,18
11383,1.9.0,1,9,0,348
11384,0.5.0,0,5,0,60
11385,4.0.0,4,0,0,960
11386,0.9.0,0,9,0,108
11387,0.5.0,0,5,0,60
11388,1.1.0,1,1,0,252
11389,0.5.0,0,5,0,60
11390,0.9.0,0,9,0,108
11391,0.9.0,0,9,0,108
11392,1.1.0,1,1,0,252
11393,0.1.6,0,1,6,18
11394,1.1.6,1,1,6,258
11395,0.3.0,0,3,0,36
11396,0.3.0,0,3,0,36
11397,0.5.0,0,5,0,60
11398,0.1.6,0,1,6,18
11399,0.9.0,0,9,0,108
11400,1.16.0,1,16,0,432
11401,1.1.0,1,1,0,252
11402,0.9.0,0,9,0,108
11403,0.9.0,0,9,0,108
11404,0.5.0,0,5,0,60
11405,0.5.0,0,5,0,60
11406,0.5.0,0,5,0,60
11407,0.5.0,0,5,0,60
11408,0.1.6,0,1,6,18
11409,0.1.6,0,1,6,18
11410,1.1.0,1,1,0,252
11411,0.1.6,0,1,6,18
11412,0.9.0,0,9,0,108
11413,0.1.6,0,1,6,18
11414,0.9.0,0,9,0,108
11415,0.5.0,0,5,0,60
11416,0.3.0,0,3,0,36
11417,0.1.6,0,1,6,18
11418,0.9.0,0,9,0,108
11419,1.4.0,1,4,0,288
11420,0.9.0,0,9,0,108
11421,0.5.0,0,5,0,60
11422,0.5.0,0,5,0,60
11423,0.5.0,0,5,0,60
11424,0.3.0,0,3,0,36
11425,0.9.0,0,9,0,108
11426,0.5.0,0,5,0,60
11427,1.1.6,1,1,6,258
11428,0.9.0,0,9,0,108
11429,0.5.0,0,5,0,60
11430,1.1.0,1,1,0,252
11431,0.1.6,0,1,6,18
11432,2.3.0,2,3,0,516
11433,0.9.0,0,9,0,108
11434,0.9.0,0,9,0,108
11435,0.9.0,0,9,0,108
11436,0.5.0,0,5,0,60
11437,2.12.6,2,12,6,630
11438,0.9.0,0,9,0,108
11439,0.1.6,0,1,6,18
11440,0.5.0,0,5,0,60
11441,0.1.6,0,1,6,18
11442,0.1.6,0,1,6,18
